1,Japanese Rice,Japanese,Japanese Rice: ENERGY | GLYCOGEN RESTORATION
2,Barley Rice,Japanese,Barley Rice: FIBER | VITAMINS | MINERALS | BETA-GLUCANS
3,Soba Noodles,Japanese,Soba Noodles: FIBER | VITAMINS | MINERALS | PREBIOTIC | PROTEIN
4,Zakkoku Mai,Japanese,Zakkoku Mai: FIBER | VITAMINS | MINERALS | IMMUNE SYSTEM
5,Genmai Brown Rice,Japanese,Genmai Brown Rice: FIBER | VITAMINS | MINERALS
6,Korean Rice,Korean,Korean Rice: ENERGY | GLYCOGEN RESTORATION
7,Purple Rice,Korean,Purple Rice: FIBER | VITAMINS | MINERALS | ANTIOXIDANTS | ANTHOCYANIN
8,Tteokbokki,Korean,Tteokbokki: ENERGY | GLYCOGEN RESTORATION
9,Japchae,Korean,Japchae: FIBER | LOW GLYCEMIC
10,Japgokbap,Korean,Japgokbap: FIBER | VITAMINS | MINERALS | IMMUNE SYSTEM
11,Whole Grain Pita,Mediterranean,Whole Grain Pita: FIBER | VITAMINS | MINERALS
12,Whole Grain Pasta,Mediterranean,Whole Grain Pasta: FIBER | VITAMINS | MINERALS
13,Whole Grain Couscous,Mediterranean,Whole Grain Couscous: FIBER | VITAMINS | MINERALS
14,Lentil Pasta,Mediterranean,Lentil Pasta: FIBER | VITAMINS | MINERALS | PROTEIN
