1,Salmon Filet,Japanese,Salmon:
2,Chicken Breast,Japanese,Chicken Breast:
3,Lean Grass Fed Beef,Japanese,Lean Grass Fed Beef:
4,Mackerel,Japanese,Mackerel:
5,Skinless Chicken Thighs,Japanese,Skinless Chicken Thighs:
6,Tuna Filet,Japanese,Tuna Filet:
7,Egg,Japanese,Egg:
8,Cod,Japanese,Cod:
9,Grass Fed Beef Sirloin,Korean,Grass Fed Beef Sirloin:
10,Chicken Breast,Korean,Chicken Breast:
11,Salted Mackerel,Korean,Salted Mackerel:
12,Grass Fed Beef Top Round,Korean,Grass Fed Beef Top Round:
13,Cod,Korean,Cod:
14,Skinless Chicken Thighs,Korean,Skinless Chicken Thighs:
15,Organic Pasture Raised Pork Loin,Korean,Organic Pasture Raised Pork Loin:
16,Eggs,Korean,Eggs:
17,Mackerel,Mediterranean,Mackerel:
18,Salmon,Mediterranean,Salmon:
19,Sea Bass,Mediterranean,Sea Bass:
20,Tilapia,Mediterranean,Tilapia:
21,Tuna,Mediterranean,Tuna:
22,Lean Lamb,Mediterranean,Lean Lamb:
23,Skinless Chicken Breast,Mediterranean,Skinless Chicken Breast:
