1,Kale,Kale: TOP NUTRIENT DENSITY | FIBER | VITAMINS | MINERALS | ANTIOXIDANTS | BETA-CAROTENE | PHYTONUTRIENTS
2,Spinach,Spinach: NUTRIENT DENSITY | FIBER | VITAMINS | MINERALS | PHYTONUTRIENTS | ANTIOXIDANTS
3,Broccoli,Broccoli: NUTRIENT DENSITY | FIBER | VITAMINS | MINERALS
4,Sprouting Broccoli,Sprouting Broccoli: NUTRIENT DENSITY | FIBER | VITAMINS | MINERALS
5,Cauliflower,Cauliflower:
6,Tomato,Tomato: LICOPENE | VITAMINS | MINERALS
7,Eggplant,Eggplant:
8,Baby Spinach,Baby Spinach: NUTRIENT DENSITY | FIBER | VITAMINS | MINERALS | PHYTONUTRIENTS | ANTIOXIDANTS
9,Alfalfa Sprouts,Alfalfa Sprouts:
10,Chard,Chard:
11,Arugala,Arugala:
12,Capsicum,Capsicum:
13,Red Peppers,Red Peppers:
14,Bean Sprouts,Bean Sprouts:
15,Onions and Peppers,Onions and Peppers:
